,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,weather_score,weight,weather_score_weighted,average_t_score
rain_sum,0.5251795766172516,-0.2518605323939834,-0.039860174204631796,-0.15384183177617908,-0.25511247748766025,-0.09704797500479337,-0.17640418003146324,-0.2606642067992832,-0.4565309141516425,0.9852381765826503,1.0,0.027998882251404865,0.7820599534893085,0.5329204686917723,0.5375806559044068,-0.008484498173760693,-0.4107266611494544,-0.1614815830409531,-0.32452059558908797,-0.32654056681752996,0.3204431902075745
snowfall_sum,0.17279250735895246,-0.18393545875876774,-0.16919713738870537,-0.18066849754726802,-0.184484367461947,-0.17533710080354167,-0.18248915635162954,-0.111221283265265,-0.11623789143250353,0.19870499669573158,0.027998882251404865,1.0,0.16445780847155766,0.06870674179131604,0.07009393820088419,-0.019448548199544023,-0.10630537065104793,-0.25689610376346533,-0.06368318391335011,-0.06499910251855258,0.027499611473156067
precipitation_hours,0.7561957229111743,-0.3820994890944147,-0.09261538576735001,-0.2570659981446135,-0.3790188558531649,-0.15163260571809023,-0.27578806366962705,-0.27242267292930633,-0.5796064059551084,0.794888727370948,0.7820599534893085,0.16445780847155766,1.0,0.5299055429378672,0.5308522566578249,-0.03457193378923619,-0.5219662415327808,-0.3269387975476264,-0.5599951880005531,-0.5572658017271935,0.21480710065242709
wind_speed_10m_max,0.4406896231557008,-0.19391330995942221,-0.02406904251519122,-0.11155394728285796,-0.22813606243845916,-0.1101770155382949,-0.17596518195946353,-0.18746444885070532,-0.3186658711859412,0.5342849381015068,0.5329204686917723,0.06870674179131604,0.5299055429378672,1.0,0.9373341809963286,0.08783667572512051,-0.27502230100628106,-0.15418740797459432,-0.2819815196424861,-0.27840747556751116,0.29790946209407876
wind_gusts_10m_max,0.43819320772357195,-0.1550827692359114,0.005799441642577084,-0.0755501185531808,-0.18864536246935174,-0.07374109129292397,-0.1358170158362473,-0.11726318615980615,-0.2561834267653313,0.5390956827608901,0.5375806559044068,0.07009393820088419,0.5308522566578249,0.9373341809963286,1.0,0.11064788326599022,-0.20774570860017552,-0.14415332573625939,-0.2876428765552805,-0.28210459321646214,0.3132728370513394
wind_direction_10m_dominant,-0.06042182960773675,0.3428157173630061,0.36448311716575493,0.3768784591805179,0.3397323565709388,0.3661560051905389,0.3699746161775089,0.36107015810222476,0.2611525109956926,-0.01162269960134167,-0.008484498173760693,-0.019448548199544023,-0.03457193378923619,0.08783667572512051,0.11064788326599022,1.0,0.3629335106033709,0.0704217604347084,0.11034362151446338,0.12905806747783702,0.28064851967270493
shortwave_radiation_sum,-0.5682166507492057,0.7869988096993082,0.5498174132845364,0.7081465636964879,0.7774836290353743,0.5842274143229222,0.7069236198297774,0.8375498394239828,0.9108123713040287,-0.4208574998467797,-0.4107266611494544,-0.10630537065104793,-0.5219662415327808,-0.27502230100628106,-0.20774570860017552,0.3629335106033709,1.0,0.30828778757078246,0.4705897916671244,0.5050702133746022,0.20422050742785192
weather_score,-0.38116327696531677,0.25977172093344786,0.1337101726148808,0.21452103740253978,0.25669872871106997,0.14972684165120442,0.21591284303156189,0.16193837846691989,0.3023218477201683,-0.2023333660285153,-0.1614815830409531,-0.25689610376346533,-0.3269387975476264,-0.15418740797459432,-0.14415332573625939,0.0704217604347084,0.30828778757078246,1.0,0.35473701525558116,0.43080267983523196,0.09206912491335345
weight,-0.8840073423569726,0.3889494924356808,0.1453413103270434,0.29973990722683524,0.3854053283527699,0.17834709886939357,0.30389034770433315,0.1869285909468094,0.41660769144909443,-0.3290571058978452,-0.32452059558908797,-0.06368318391335011,-0.5599951880005531,-0.2819815196424861,-0.2876428765552805,0.11034362151446338,0.4705897916671244,0.35473701525558116,1.0,0.9847999709164773,0.07211566632310662
weather_score_weighted,-0.8722110023729253,0.4128867412393002,0.16498813994356817,0.3235841424773157,0.40888437714908005,0.1981568649699377,0.3268235046576767,0.2127126241572008,0.4475617802824392,-0.33126250766445325,-0.32654056681752996,-0.06499910251855258,-0.5572658017271935,-0.27840747556751116,-0.28210459321646214,0.12905806747783702,0.5050702133746022,0.43080267983523196,0.9847999709164773,1.0,0.08375477016609514
average_t_score,0.03802479542304686,0.41831146501406125,0.49082727450389174,0.4595374504200856,0.4131395769898531,0.4615446896157217,0.4433456192961007,0.26866191673866685,0.12151871714234724,0.3189291246494781,0.3204431902075745,0.027499611473156067,0.21480710065242709,0.29790946209407876,0.3132728370513394,0.28064851967270493,0.20422050742785192,0.09206912491335345,0.07211566632310662,0.08375477016609514,1.0
